e1	e2	e3	cumvol
1.0706E+00	2.3908E+00	3.4477E-01	6.0686734196885E-02
2.8822E+00	2.3414E+00	5.7622E-01	6.1432722667573E-02
2.5423E+00	5.6371E-01	6.5544E-01	6.1690921275643E-02
2.8346E+00	5.9900E-01	7.2494E-01	6.1813441966663E-02
3.1060E+00	2.2286E+00	3.8368E-01	6.2060969529343E-02
2.2045E+00	7.2812E-01	5.4959E-01	6.2326217741279E-02
2.4726E+00	3.2545E-01	3.1199E-01	6.2470045936276E-02
2.8592E+00	7.7226E-01	1.7360E-02	6.2470291095660E-02
1.4897E-01	5.1519E-01	4.3090E-01	6.2643995165971E-02
8.0876E-02	6.7892E-01	6.4708E-01	6.2730258716879E-02
2.9042E-01	2.3663E+00	7.5732E-01	6.2982975316979E-02
7.8214E-02	7.0461E-01	9.7768E-01	6.3151936926508E-02
1.4325E-01	6.0389E-01	2.6244E-01	6.3156402692882E-02
9.0459E-01	5.9861E-01	8.1531E-01	6.3340028088806E-02
4.3862E-01	2.5466E+00	9.4880E-01	6.3372783823938E-02
2.8606E+00	2.4744E+00	6.7082E-01	6.3928313970973E-02
2.8238E+00	6.7310E-01	3.9298E-01	6.4267003185949E-02
3.0252E+00	2.3806E+00	2.4300E-01	6.5049478697250E-02
1.9424E-01	6.5213E-01	8.0092E-01	6.5118855751164E-02
1.1516E+00	2.4637E+00	4.2324E-01	6.5332778167568E-02
3.1412E+00	2.4855E+00	6.9464E-01	6.5475897333143E-02
8.0423E-03	2.4695E+00	2.3553E-01	6.5802078333237E-02
3.3224E-01	3.8488E-01	2.6276E-01	6.5810613135031E-02
5.3728E-01	5.4840E-01	3.4469E-01	6.5837875672346E-02
2.9281E+00	2.3571E+00	7.6477E-01	6.6242176048955E-02
4.3310E-01	2.5992E+00	7.5360E-01	6.6737622818975E-02
1.8380E-01	2.5803E+00	4.8963E-01	6.6853769366009E-02
2.5222E+00	5.1276E-01	9.1888E-01	6.6854121337573E-02
3.0821E-01	2.4037E+00	7.0141E-01	6.7528914912773E-02
2.9910E+00	5.6034E-01	5.2157E-01	6.7556991257172E-02
1.2296E-01	2.3187E+00	5.3025E-01	6.7690905247368E-02
2.9760E+00	2.4969E+00	6.3329E-01	6.7775134280566E-02
2.6004E+00	2.4414E+00	8.8469E-01	6.8162694645455E-02
2.5890E+00	2.3394E+00	1.0177E+00	6.8297155920915E-02
2.4506E+00	2.6204E+00	7.6410E-01	6.8353918965027E-02
2.6349E+00	7.3016E-01	1.0455E+00	6.8546661034810E-02
4.0834E-01	2.6786E+00	6.1268E-01	6.8897973414918E-02
4.2439E-02	2.5037E+00	4.8553E-01	6.8906080967993E-02
2.8875E+00	2.5396E+00	5.8167E-01	6.8945245433912E-02
