ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;134;0.649068;1.40515;5.78673;0.0174533;0.748273;0.678322;1.83847;5.96227;0.467353
ID;135;0.984555;1.50743;5.99339;0.0174533;1.72184;1.3741;2.13632;0.020287;0.756996
ID;136;1.07782;1.39535;6.0885;0.0174533;3.28622;0;1.5708;0;0.571893
ID;137;0.323362;0.817941;6.08093;0.0174533;1.16652;0.508439;1.87033;6.07369;0.684366
ID;138;0.632862;1.4079;5.84237;0.0174533;5.68687;0;1.5708;0;0.753733
ID;139;0.859006;1.80691;5.67599;0.0174533;4.15706;0;1.5708;0;0.899709
ID;140;0.981214;0.946117;5.76069;0.0174533;4.45478;0;1.5708;0;1.04383
ID;141;0.297147;1.34121;6.01936;0.0174533;3.32998;0;1.5708;0;0.437506
ID;142;0.745491;0.814497;5.85526;0.0174533;5.93791;0;1.5708;0;0.87098
ID;143;0.758158;0.835955;5.58621;0.0174533;3.40079;0;1.5708;0;0.838059
ID;144;0.666075;1.5123;5.76502;0.0174533;4.00862;0;1.5708;0;0.827741
ID;145;1.12126;1.60372;6.00068;0.0174533;4.22475;0;1.5708;0;0.52671
ID;146;1.07724;1.75471;5.88573;0.0174533;1.13506;1.82317;2.26198;0.698349;0.990919
ID;147;1.08662;1.35814;5.80382;0.0174533;2.73493;1.78058;2.51609;0.798541;0.735442
ID;148;1.01207;1.37399;6.10539;0.0174533;2.33145;2.1151;2.77762;1.36245;0.577699
ID;149;0.943549;1.14373;5.85035;0.0174533;0.413321;1.00545;1.43159;5.98158;0.329118
ID;150;1.03048;1.29002;6.06095;0.0174533;2.76492;1.3947;2.2837;0.76588;0.882925
ID;151;0.58169;1.23363;5.70496;0.0174533;2.24911;0.796768;2.21023;6.23647;0.934383
ID;152;0.791035;1.19972;6.08401;0.0174533;1.53352;1.00623;2.1604;0.056013;0.707569
ID;153;0.695846;1.01135;5.68634;0.0174533;2.40425;0.889873;2.52995;6.00359;0.82344
ID;154;0.953526;1.57938;5.94494;0.0174533;5.5955;0;1.5708;0;0.700037
ID;155;0.610451;1.21959;5.81767;0.0174533;0.60614;0.676835;1.69044;5.95248;0.495925
ID;156;0.944171;1.76736;5.71054;0.0174533;0.846905;1.25108;2.152;5.96337;0.494451
ID;157;0.396065;1.35487;6.00409;0.0174533;6.03783;0;1.5708;0;0.505564
ID;158;1.16485;1.61157;5.89114;0.0174533;4.13318;0;1.5708;0;0.558119
ID;159;0.816796;1.20286;6.05226;0.0174533;3.70413;0;1.5708;0;0.880554
ID;160;0.717123;1.25212;5.84667;0.0174533;5.68751;0;1.5708;0;0.832244
ID;161;1.21376;1.62315;6.19886;0.0174533;2.20126;1.87663;2.1685;0.732587;1.00243
ID;162;0.810702;1.32474;6.08845;0.0174533;1.94217;1.08776;2.30074;0.319421;0.708941
ID;163;0.0784012;1.37691;6.25363;0.0174533;4.52266;0;1.5708;0;0.2101
ID;164;0.223395;0.933779;6.06518;0.0174533;5.09225;0;1.5708;0;0.684624
ID;165;0.755881;1.27015;5.96485;0.0174533;4.34183;0;1.5708;0;0.825165
ID;166;0.735313;1.64175;5.90071;0.0174533;2.86982;3.8026;3.12796;2.58944;0.604423
ID;167;0.821476;1.26593;6.03039;0.0174533;5.34502;0;1.5708;0;0.871238
ID;168;0.822531;0.740295;5.76232;0.0174533;2.51954;1.02394;1.23648;5.86546;0.565168
ID;169;0.115551;0.577797;6.17721;0.0174533;4.57668;0;1.5708;0;0.577874
ID;170;0.816211;0.666517;5.79977;0.0174533;0.912404;0.786836;1.44585;6.18118;0.857252
ID;171;1.41668;1.55498;6.13259;0.0174533;1.06081;1.58405;1.79241;0.0978768;0.370133
ID;172;1.00769;0.747733;5.72378;0.0174533;0.765545;1.04293;1.23631;5.94491;0.544468
ID;173;1.0903;1.30734;5.947;0.0174533;2.07335;1.62876;2.16649;0.363541;0.991342
ID;174;0.282047;1.49917;6.22881;0.0174533;2.28154;4.90383;2.93006;3.94028;0.713753
ID;175;0.915998;1.17029;5.67589;0.0174533;5.90026;0;1.5708;0;1.04577
ID;176;0.829197;1.69688;5.58908;0.0174533;4.7772;0;1.5708;0;0.979322
ID;177;0.208035;0.818636;6.17503;0.0174533;4.42566;0;1.5708;0;0.775336
ID;178;1.38736;1.5449;6.1116;0.0174533;1.62062;2.2393;1.94835;0.915739;0.827824
ID;179;0.929988;1.70618;5.81601;0.0174533;6.17105;0;1.5708;0;0.773452
ID;180;1.05342;0.955138;5.8884;0.0174533;4.83718;0;1.5708;0;0.954795
ID;181;0.885747;1.06903;5.74313;0.0174533;4.93067;0;1.5708;0;1.02345
ID;182;1.12192;1.65052;6.134;0.0174533;4.14681;0;1.5708;0;0.473576
ID;183;0.990986;1.55762;6.12366;0.0174533;0.242802;1.0053;1.60794;6.16085;0.064085
ID;184;0.645518;0.634004;5.9456;0.0174533;4.3764;0;1.5708;0;0.702552
ID;185;0.341467;0.769523;6.05277;0.0174533;5.29106;0;1.5708;0;0.7771
ID;186;1.01683;1.17467;5.88369;0.0174533;3.4359;0;1.5708;0;0.837239
ID;187;0.798662;1.45727;6.10742;0.0174533;2.32503;2.64527;2.66198;1.34987;0.835173
ID;188;0.719421;1.43347;5.89429;0.0174533;1.21483;1.39105;2.34609;0.168189;1.05403
ID;189;0.922663;1.31998;5.63987;0.0174533;0.962685;1.17951;1.87086;5.95081;0.676372
ID;190;0.681986;0.902337;5.72816;0.0174533;4.10701;0;1.5708;0;0.910616
ID;191;0.432134;1.55233;5.91443;0.0174533;5.93596;0;1.5708;0;0.563897
ID;192;0.485275;0.612817;5.9993;0.0174533;0.694021;0.702035;1.16722;5.93194;0.582181
ID;193;0.801488;1.34276;5.88068;0.0174533;2.02112;1.30376;2.67285;0.0184613;0.768304
ID;194;1.1494;1.4093;6.11474;0.0174533;6.28048;0;1.5708;0;0.492575
ID;195;1.0618;1.04741;5.83825;0.0174533;0.836115;1.00888;1.61326;0.162482;0.816281
ID;196;0.736187;1.43657;5.91458;0.0174533;2.33665;2.56889;2.47547;0.808561;0.953218
ID;197;0.326196;0.697224;6.01207;0.0174533;2.25125;0.648449;1.97694;6.26711;0.643758
