ID;ID;phi1;PHI;phi2;q0;q1;q2;q3;phi1;PHI;phi2;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;73;1.06333;1.51347;5.85047;-0.691236;-0.503266;-0.466987;-0.225475;1.06333;1.51347;5.85047;-0.691236;-0.503266;-0.466987;-0.225475;2.98023e-08;2.98023e-08;1;2.77556e-17;0;0
ID;74;0.824776;1.10442;5.81062;-0.838199;-0.418024;-0.316908;-0.149156;0.824776;1.10442;5.81062;-0.838199;-0.418024;-0.316908;-0.149156;5.16191e-08;5.16191e-08;1;4.16334e-17;0;0
ID;75;0.682977;1.67255;5.82362;-0.666054;-0.624309;-0.401283;-0.074713;0.682977;1.67255;5.82362;-0.666054;-0.624309;-0.401283;-0.074713;0;0;1;1.38778e-17;0;0
ID;76;0.904206;1.29631;5.65617;-0.789554;-0.435256;-0.418361;-0.110136;0.904206;1.29631;5.65617;-0.789554;-0.435256;-0.418361;-0.110136;0;0;1;1.249e-16;6.93889e-17;0
ID;77;0.897518;1.24551;5.79317;-0.795471;-0.448448;-0.37297;-0.164359;0.897518;1.24551;5.79317;-0.795471;-0.448448;-0.37297;-0.164359;0;0;1;0;0;0
ID;78;0.470437;1.35216;6.06243;-0.773963;-0.58874;-0.211974;-0.0971264;0.470437;1.35216;6.06243;-0.773963;-0.58874;-0.211974;-0.0971264;0;0;1;0;0;0
ID;79;0.218609;1.04307;6.20301;-0.864978;-0.492664;-0.0741534;-0.0599653;0.218609;1.04307;6.20301;-0.864978;-0.492664;-0.0741534;-0.0599653;2.98023e-08;2.98023e-08;1;3.46945e-18;0;0
ID;80;0.612573;1.50699;5.71747;-0.729102;-0.568849;-0.38017;-0.0170863;0.612573;1.50699;5.71747;-0.729102;-0.568849;-0.38017;-0.0170863;0;0;1;2.77556e-17;1.73472e-18;0
ID;81;0.651111;0.855165;5.98644;-0.895725;-0.368968;-0.189251;-0.160387;0.651111;0.855165;5.98644;-0.895725;-0.368968;-0.189251;-0.160387;0;0;1;1.38778e-17;0;0
ID;82;0.994811;1.4337;6.02537;-0.703271;-0.532308;-0.385114;-0.27156;0.994811;1.4337;6.02537;-0.703271;-0.532308;-0.385114;-0.27156;0;0;1;0;0;0
